chr,start,stop,length,Type,Gene,New,Target,Tiling
chr3,178921332,178921577,245,Exon,PIK3CA,,NM_006218:exon5,1X
chr3,178922291,178922376,85,Exon,PIK3CA,,NM_006218:exon6,1X
chr3,178927383,178927488,105,Exon,PIK3CA,,NM_006218:exon7,1X
chr3,178927974,178928126,152,Exon,PIK3CA,,NM_006218:exon8,1X
chr3,178928219,178928353,134,Exon,PIK3CA,,NM_006218:exon9,1X
chr3,178935998,178936122,124,Exon,PIK3CA,,NM_006218:exon10,1X
chr3,178936984,178937065,81,Exon,PIK3CA,,NM_006218:exon11,1X
chr3,178937359,178937523,164,Exon,PIK3CA,,NM_006218:exon12,1X
chr3,178937737,178937840,103,Exon,PIK3CA,,NM_006218:exon13,1X
chr3,178938774,178938945,171,Exon,PIK3CA,,NM_006218:exon14,1X
chr3,178941869,178941975,106,Exon,PIK3CA,,NM_006218:exon15,1X
chr3,178942488,178942609,121,Exon,PIK3CA,,NM_006218:exon16,1X
chr3,178943750,178943828,78,Exon,PIK3CA,,NM_006218:exon17,1X
chr3,178947060,178947230,170,Exon,PIK3CA,,NM_006218:exon18,1X
chr3,178947792,178947909,117,Exon,PIK3CA,,NM_006218:exon19,1X
chr3,178948013,178948164,151,Exon,PIK3CA,,NM_006218:exon20,1X
chr3,178951882,178952152,270,Exon,PIK3CA,,NM_006218:exon21,1X
